name,brand,basis,kcal_per_unit,protein_per_unit,fat_per_unit,carbohydrate_per_unit,fibre_per_unit,sodium_per_unit,potassium_per_unit,calcium_per_unit,iron_per_unit,magnesium_per_unit,phosphorus_per_unit,free_water_per_unit,vitamin_a_rae_ug_per_unit,retinol_ug_per_unit,beta_carotene_ug_per_unit,vitamin_d_ug_per_unit,vitamin_e_mg_per_unit,vitamin_c_mg_per_unit,thiamine_mg_per_unit,riboflavin_mg_per_unit,vitamin_b6_mg_per_unit,pantothenic_acid_mg_per_unit,niacin_preformed_mg_per_unit,zinc_mg_per_unit,copper_mg_per_unit,manganese_mg_per_unit,folate_dfe_ug_per_unit,vitamin_b12_ug_per_unit,selenium_ug_per_unit,directions,source,verified
MCT Oil,Nestlé Health Science,mL,7.7,0,0.9,0,,,,,,,,0,,,,,,,,,,,,,,,,,,"Modular MCT source. The guide states 7.7 Cal/mL; its Nutrition Facts panel prints 80 Cal per 10 mL, which rounds to one significant figure.",2026_nestle-product-guide.pdf p.27,2026-08-28
HiFibre,Medtrition (CMI Canada),mL,1.0,0,0,0.4667,0.4,0,0.03333,0,0,,,,,,,,,,,,,,,,,,,,,Measure 2 tablespoons (30 mL) per serving. Suitable for tube feeding; the Canadian sheet defers to the physician or dietitian for tube feeding instructions.,formula_sources/medtrition/HiFibre_CMI-Canada_p2.jpg,2026-08-29
ProSource NoCarb Liquid Protein,Medtrition (CMI Canada),mL,2.0,0.5,0,0,0,1.3333,0.3333,0,0,,,,,,,,,,,,,,,,,,,,,"Tube feeding: dilute with 30 mL of water, infuse via syringe down the feeding tube, flush with 15-30 mL of water before and after administration.",formula_sources/medtrition/ProSource-NoCarb_CMI-Canada_p2.jpg,2026-08-29
BeneProtein,Nestlé Health Science,g,3.5714,0.8571,0,0,,2.1429,2.8571,2.8571,,,,,,,,,,,,,,,,,,,,,,"Each 7 g serving provides 6 g of protein. It can be added to most foods, liquids and as a ""protein flush"" with tube feedings.",2026_nestle-product-guide.pdf p.5,2026-08-29
Boost Just Protein,Nestlé Health Science,g,3.8095,0.8571,0,0.0476,0,2.1429,3.5714,3.5714,0,,,,,,,,,,,,,,,,,,,,,"Each 21 g serving provides 18 g of protein. It can be added to most foods, liquids and as a ""protein flush"" with tube feedings.",2026_nestle-product-guide.pdf p.9,2026-08-29
Boost Powder,Nestlé Health Science,g,3.75,0.175,0.0025,0.75,0.075,2.875,8.75,5.625,0.175,0.625,5.625,,12.5,12.5,,0,,0.75,0.0163,0.0238,0.0019,0.015,0.15,0.025,,,,0.015,,For 280 ml serving prepared with 250 ml whole milk. For oral use.,2026_nestle-product-guide.pdf p.12,2026-08-29
Boost Pudding,Nestlé Health Science,g,1.6197,0.0493,0.0563,0.2254,,0.8099,1.7606,1.7606,0.019,0.4225,1.7606,0.6549,1.7535,0.8979,1.7113,0.0141,0.0475,0.2535,0.0014,0.0021,0.0028,0.0106,0.0211,0.019,0.0021,0.0028,0.9577,0.007,0.0704,,2026_nestle-product-guide.pdf p.14,2026-08-29
BanatrAll with GOS,Medtrition (CMI Canada),g,3.6364,0,0,0.9091,0.1818,1.3636,11.3636,0,0,,,,,,,,,,,,,,,,,,,,,"Mix 1 package into your favourite non-carbonated beverage or moist foods. Once completely mixed, serve immediately or refrigerate up to 48 hours. Consult a physician or dietitian for tube feeding instructions.",formula_sources/medtrition/BanatrAll-with-GOS_CMI-Canada_p2.jpg,2026-08-29
